STT,Gi?i T¡nh,Chi?u Cao ,Cƒn N?ng,Toeic,Hi?u ?i?n Tho?i,L…m ? SG
1,N?,162,47,425,SamSung,C¢
2,N?,162,53,355,Iphone,C¢
3,Nam,162,50,280,Xiaomi,C¢
4,N?,157,49,280,SamSung,Ch?a Bi?t
5,N?,160,56,360,OPPO,Ch?a Bi?t
6,N?,152,47,305,SamSung,C¢
7,Nam,170,55,325,Nokia,C¢
8,Nam,167,50,295,OPPO,C¢
9,Nam,160,50,390,Xiaomi,Kh“ng
10,Nam,170,52,425,Xiaomi,C¢
11,Nam,172,61,0,Redmi,C¢
12,Nam,172,54,320,SamSung,C¢
13,Nam,170,67,300,Iphone,C¢
14,Nam,155,54,260,SamSung,C¢
15,Nam,170,74,350,SamSung,C¢
16,Nam,170,76,335,SamSung,C¢
17,Nam,170,82,245,Iphone,C¢
18,Nam,190,85,990,Iphone,Kh“ng
19,Nam,170,48,345,SamSung,C¢
20,Nam,170,52,310,Realme,C¢
21,Nam,175,60,300,Iphone,C¢
22,Nam,170,55,500,SamSung,C¢
23,Nam,167,47,250,Huawei,Kh“ng
24,Nam,173,52,475,OPPO,C¢
25,N?,155,55,318,SamSung,C¢
26,Nam,173,63,355,SamSung,Kh“ng
27,Nam,168,57.5,540,SamSung,C¢
28,Nam,168,52.5,560,Xiaomi,C¢
29,Nam,175,56,260,SamSung,C¢
30,Nam,177,58,310,Sony,C¢
31,Nam,160,45,385,Vivo,Kh“ng
32,Nam,164,44,380,SamSung,C¢
33,Nam,162,48,305,Xiaomi,C¢
34,Nam,173,70,345,Redmi,C¢
35,Nam,173,68,185,OPPO,Kh“ng
36,Nam,170,52,700,Iphone,C¢
37,Nam,170,62,300,OPPO,C¢
38,Nam,169,52,465,SamSung,Kh“ng
39,Nam,168,58,470,SamSung,Kh“ng
40,Nam,164,53,280,SamSung,C¢
41,Nam,170,58,350,Xiaomi,C¢
42,Nam,175,58,335,OPPO,C¢
43,N?,168,52,230,OPPO,Kh“ng
44,Nam,178,51,250,SamSung,Kh“ng
45,Nam,177,65,310,SamSung,Kh“ng
46,Nam,160,54,220,SamSung,Kh“ng
47,Nam,175,55,250,SamSung,Kh“ng
48,Nam,170,70,340,Iphone,C¢
49,Nam,170,53,5,Nokia,Kh“ng
50,Nam,168,60,235,Realme,C¢
51,Nam,162,56,275,Iphone,C¢
52,Nam,169,61,10,OPPO,Kh“ng
53,Nam,170,52,300,Iphone,Kh“ng
54,N?,159,47,200,OPPO,C¢
55,N?,154,45,375,Iphone,C¢
56,Nam,164,56,330,Iphone,C¢
57,Nam,172,65,500,Iphone,C¢
58,Nam,165,50,225,Xiaomi,C¢
59,N?,176,70,300,SamSung,C¢
60,Nam,178,70,350,Iphone,C¢
61,N?,156,54,265,Redmi,C¢
62,N?,150,40,265,Iphone,C¢
63,N?,156,44,300,Redmi,C¢
64,Nam,166,52,250,Redmi,C¢
65,Nam,170,45,350,SamSung,C¢
66,Nam,165,60,340,SamSung,C¢
67,Nam,172,78,360,Iphone,C¢
68,Nam,170,65,325,SamSung,C¢
69,Nam,166,58,350,SamSung,C¢
70,Nam,165,63,290,Redmi,C¢
71,Nam,165,53,260,Redmi,C¢
72,N?,160,50,245,Iphone,C¢
